id,score,created_utc
ejualnb,55,1554076800
ejualnc,12,1554076800
ejualnd,27,1554076800
ejualne,14,1554076800
ejualnf,-2,1554076800
ejualng,22,1554076800
ejualnh,1,1554076800
ejualni,4,1554076800
ejualnj,3,1554076800
ejualnk,7,1554076800
ejualnl,5,1554076800
ejualnm,1,1554076800
ejualnn,1,1554076800
ejualno,1,1554076800
ejualnp,4,1554076800
ejualnq,7,1554076800
ejualnr,1,1554076800
ejualns,2,1554076800
ejualnt,-1,1554076800
ejualnu,5,1554076800
ejualnv,0,1554076800
ejualnw,1,1554076800
ejualnx,3,1554076800
ejualny,1,1554076800
ejualnz,1,1554076800
ejualo0,3,1554076800
ejualo1,5,1554076800
ejualo2,2,1554076800
ejualo3,1,1554076800
ejualo4,582,1554076800
ejualo5,1,1554076800
ejualo6,2,1554076800
ejualo7,-7,1554076800
ejualo8,2,1554076800
ejualo9,5,1554076800
ejualoa,1,1554076800
ejualob,4,1554076800
ejualoc,1,1554076800
ejualod,2,1554076800
ejualoe,1,1554076800
ejualof,1,1554076800
ejualog,3,1554076800
ejualoh,0,1554076800
ejualoi,1,1554076800
ejualoj,1,1554076800
ejualok,1,1554076800
ejualol,78,1554076800
ejualom,2,1554076800
ejualon,29,1554076800
ejualoo,22,1554076800
ejualop,3,1554076800
ejualoq,1,1554076800
ejualor,5,1554076800
ejualos,6,1554076800
ejualot,3,1554076800
ejualou,1,1554076801
ejualov,6,1554076801
ejualow,2,1554076801
ejualox,1,1554076801
ejualoy,1,1554076801
ejualoz,1,1554076801
ejualp0,1,1554076801
ejualp1,-1,1554076801
ejualp2,2,1554076801
ejualp3,42,1554076801
ejualp4,2,1554076801
ejualp5,5,1554076801
ejualp6,2,1554076801
ejualp7,1,1554076801
ejualp8,2,1554076801
ejualp9,-9,1554076801
ejualpa,-2,1554076801
ejualpb,4,1554076801
ejualpc,1,1554076801
ejualpd,-7,1554076801
ejualpe,52,1554076801
ejualpf,1,1554076801
ejualpg,-5,1554076801
ejualph,1,1554076801
ejualpi,6,1554076801
ejualpj,0,1554076801
ejualpk,1,1554076801
ejualpl,2,1554076801
ejualpm,50,1554076801
ejualpn,14,1554076801
ejualpo,1,1554076801
ejualpp,1,1554076801
ejualpq,1,1554076801
ejualpr,23,1554076801
ejualps,1,1554076801
ejualpt,1,1554076801
ejualpu,2,1554076801
ejualpv,1,1554076801
ejualpw,2,1554076801
ejualpx,1,1554076801
ejualpy,1,1554076801
ejualpz,1,1554076801
ejualq0,8,1554076801
ejualq1,1,1554076801
ejualq2,5,1554076801
ejualq3,1,1554076801
ejualq4,1,1554076801
ejualq5,0,1554076801
ejualq6,3,1554076801
ejualq7,2,1554076801
ejualq8,1,1554076801
ejualq9,2,1554076801
ejualqa,0,1554076801
ejualqb,3,1554076802
ejualqc,1,1554076802
ejualqd,1,1554076802
ejualqe,-1,1554076802
ejualqf,1,1554076802
ejualqg,2,1554076802
ejualqh,3,1554076802
ejualqi,-3,1554076802
ejualqj,4,1554076802
ejualqk,4,1554076802
ejualql,2,1554076802
ejualqm,1,1554076802
ejualqn,1,1554076802
ejualqo,2,1554076802
ejualqp,6,1554076802
ejualqq,1,1554076802
ejualqr,7,1554076802
ejualqs,4,1554076802
ejualqt,13,1554076802
ejualqu,3,1554076802
ejualqv,1,1554076802
ejualqw,2,1554076802
ejualqx,4,1554076802
ejualqy,1,1554076802
ejualqz,-1,1554076802
ejualr0,-2,1554076802
ejualr1,1,1554076802
ejualr2,2,1554076802
ejualr3,23,1554076802
ejualr4,-1,1554076802
ejualr5,1,1554076802
ejualr6,3,1554076802
ejualr7,1,1554076802
ejualr8,1,1554076802
ejualr9,2,1554076802
ejualra,5,1554076802
ejualrb,5,1554076802
ejualrc,1,1554076802
ejualre,3,1554076802
ejualrg,22,1554076802
ejualrh,1,1554076802
ejualri,-5,1554076802
ejualrj,1,1554076802
ejualrk,1,1554076802
ejualrl,2,1554076802
ejualrm,0,1554076802
ejualrn,1,1554076802
ejualro,1,1554076802
ejualrp,2,1554076802
ejualrq,2,1554076802
ejualrr,3,1554076802
ejualrs,1,1554076802
ejualrt,7,1554076802
ejualru,5,1554076803
ejualrv,0,1554076803
ejualrw,3,1554076803
ejualrx,2,1554076803
ejualry,1,1554076803
ejualrz,4,1554076803
ejuals0,5,1554076803
ejuals1,1,1554076803
ejuals2,19,1554076803
ejuals3,31,1554076803
ejuals4,3,1554076803
ejuals5,44,1554076803
ejuals6,1,1554076803
ejuals7,1,1554076803
ejuals8,2,1554076803
ejuals9,13,1554076803
ejualsa,14,1554076803
ejualsb,4,1554076803
ejualsc,-7,1554076803
ejualsd,1,1554076803
ejualse,4,1554076803
ejualsf,1,1554076803
ejualsg,5,1554076803
ejualsh,1,1554076803
ejualsi,0,1554076803
ejualsj,2,1554076803
ejualsk,2,1554076803
ejualsl,1,1554076803
ejualsm,40,1554076803
ejualsn,1,1554076803
ejualso,1,1554076803
ejualsp,1,1554076803
ejualsq,37,1554076803
ejualsr,1,1554076803
ejualss,1,1554076803
ejualst,2,1554076803
ejualsu,1,1554076803
ejualsv,7,1554076803
